ItemID,Title,lyrics,,
1,Stairway to heaven,"There's a lady who's sure all that glitters is gold
And she's buying a stairway to Heaven
When she gets there, she knows if the stores are all closed
With a word she can get what she came for

And she's buying a stairway to Heaven

There's a sign on the wall, but she wants to be sure
'Cause you know sometimes words have two meanings
In a tree by the brook there's a songbird who sings
Sometimes all of our thoughts are misgiven

It makes me wonder
It makes me wonder

There's a feeling I get when I look to the west
And my spirit is crying for leaving
In my thoughts I have seen rings of smoke through the trees
And the voices of those who stand looking

It makes me wonder
It really makes me wonder

And it's whispered that soon, if we all call the tune
Then the piper will lead us to reason
And a new day will dawn for those who stand long
And the forests will echo with laughter

If there's a bustle in your hedgerow, don't be alarmed now
It's just a spring clean for the May Queen
Yes, there are two paths you can go by, but in the long run
There's still time to change the road you're on

And it makes me wonder

Your head is humming and it won't go, in case you don't know
The piper's calling you to join him
Dear lady can you hear the wind blow, and did you know
Your stairway lies on the whispering wind, oh

And as we wind on down the road
Our shadow's taller than our soul
There walks a lady we all know
Who shines white light and wants to show
How everything still turns to gold
And if you listen very hard
The tune will come to you at last
When all are one and one is all, yeah
To be a rock and not to roll

And she's buying a stairway to Heaven",,
2,Lose yourself,"Look, if you had one shot or one opportunity",,
,,To seize everything you ever wanted in one moment...,,
,,Would you capture it or just let it slip?,,
,,,,
,,"(Yo) His palms are sweaty, knees weak, arms are heavy",,
,,"There's vomit on his sweater already, mom's spaghetti",,
,,"He's nervous, but on the surface he looks calm and ready",,
,,"To drop bombs, but he keeps on forgetting",,
,,,,
,,"What he wrote down, the whole crowd goes so loud",,
,,"He opens his mouth, but the words won't come out",,
,,"He's chokin' how, everybody's jokin' now",,
,,"The clocks runs out, time's up, over, blow",,
,,,,
,,"Snap back to reality, oh, there goes gravity, oh",,
,,"There goes Rabbit, he choked, he's so mad but he won't",,
,,"Give up that easy no, he won't have it he knows",,
,,"His whole back's to these ropes, it don't matter he's dope",,
,,,,
,,"He knows that but he's broke, he's so stagnant he knows",,
,,"When he goes back to his mobile home, that's when it's",,
,,"Back to the lab again yo, this whole rhapsody",,
,,He better go capture this moment and hope it don't pass him,,
,,,,
,,"You better lose yourself in the music, the moment",,
,,"You own it, you better never let it go",,
,,"You only get one shot, do not miss your chance to blow",,
,,This opportunity comes once in a lifetime,,
,,,,
,,"You better lose yourself in the music, the moment",,
,,"You own it, you better never let it go",,
,,"You only get one shot, do not miss your chance to blow",,
,,This opportunity comes once in a lifetime (You better),,
,,,,
,,His soul's escaping through this hole that is gaping,,
,,"This world is mine for the taking, make me king",,
,,As we move toward a new world order,,
,,"A normal life is boring, but super-stardom's",,
,,,,
,,"Close to postmortem, it only grows harder",,
,,"Only grows hotter, he blows us all over",,
,,"These hoes is all on him, coast to coast shows",,
,,"He's known as the Globetrotter, lonely roads God only knows",,
,,,,
,,"He's grown farther from home, he's no father",,
,,"He goes home, and barely knows his own daughter",,
,,"But hold your nose, 'cause here goes the cold water",,
,,"These hoes don't want him no mo', he's cold product",,
,,,,
,,They moved on to the next schmoe who flows,,
,,"He nose dove and sold nada, so the soap opera",,
,,"Is told and unfolds, I suppose it's old partna'",,
,,"But the beat goes on, da da dum da dum da da da dum",,
,,,,
,,"You better lose yourself in the music, the moment",,
,,"You own it, you better never let it go",,
,,"You only get one shot, do not miss your chance to blow",,
,,This opportunity comes once in a lifetime,,
,,,,
,,"You better lose yourself in the music, the moment",,
,,"You own it, you better never let it go",,
,,"You only get one shot, do not miss your chance to blow",,
,,This opportunity comes once in a lifetime (You better),,
,,,,
,,"No more games, I'mma change what you call rage",,
,,"Tear this motherfuckin' roof off, like two dogs caged",,
,,"I was playin' in the beginning, the mood all changed",,
,,I been chewed up and spit out and booed off stage,,
,,,,
,,But I kept rhymin' and stepped right in the next cipher,,
,,Best believe somebody's payin' the Pied Piper,,
,,All the pain inside amplified by the,,
,,Fact that I can't get by with my nine to five,,
,,,,
,,And I can't provide the right type of,,
,,"Life for my family, 'cause man these goddamn",,
,,Food stamps don't buy diapers,,
,,"And there's no movie, there's no Mekhi Phifer, this is my life",,
,,,,
,,"And these times are so hard, and it's getting even harder",,
,,"Tryin' to feed and water my seed, plus teeter-totter",,
,,Caught up between bein' a father and a Prima Donna,,
,,Baby mama drama screamin' on and too much for me to wanna,,
,,,,
,,"Stay in one spot, another day of monotony",,
,,Has gotten me to the point I'm like a snail I've got,,
,,To formulate a plot or end up in jail or shot,,
,,"Success is my only motherfuckin' option, failure's not",,
,,,,
,,"Mom I love you, but this trailer's got to go",,
,,I cannot grow old in Salem's Lot,,
,,"So here I go, it's my shot, feet fail me not",,
,,This may be the only opportunity that I got,,
,,,,
,,"You better lose yourself in the music, the moment",,
,,"You own it, you better never let it go",,
,,"You only get one shot, do not miss your chance to blow",,
,,This opportunity comes once in a lifetime,,
,,,,
,,"You better lose yourself in the music, the moment",,
,,"You own it, you better never let it go",,
,,"You only get one shot, do not miss your chance to blow",,
,,This opportunity comes once in a lifetime (You better),,
,,,,
,,"You can do anything you set your mind to, man.",,
